longitude,latitude,sea_temperature
-78.6,11.96,27.577831
-78.6,12.21,27.666912
-78.6,12.46,27.792831
-78.35,-4.29,0.0
-78.35,-4.04,0.0
-78.35,-3.79,0.0
-78.35,-3.54,0.0
-78.35,-3.29,0.0
-78.35,-3.04,0.0
-78.35,-2.79,0.0
-78.35,-2.54,0.0
-78.35,-2.29,0.0
-78.35,-2.04,0.0
-78.35,-1.79,0.0
-78.35,-1.54,0.0
-78.35,-1.29,0.0
-78.35,-1.04,0.0
-78.35,-0.79,0.0
-78.35,-0.54,0.0
-78.35,-0.29,0.0
-78.35,-0.04,0.0
-78.35,0.21,0.0
-78.35,0.46,0.0
-78.35,0.71,0.0
-78.35,0.96,0.0
-78.35,1.21,0.0
-78.35,1.46,0.0
-78.35,1.71,0.0
-78.35,1.96,0.0
-78.35,2.21,0.0
-78.35,2.46,0.0
-78.35,2.71,26.527267
-78.35,2.96,26.717348
-78.35,3.21,26.811728
-78.35,3.46,26.85988
-78.35,3.71,26.941257
-78.35,3.96,26.966417
-78.35,4.21,26.993984
-78.35,4.46,27.020468
-78.35,4.71,27.05851
-78.35,4.96,27.079817
-78.35,5.21,27.004337
-78.35,5.46,26.982307
-78.35,5.71,26.953535
-78.35,5.96,27.000484
-78.35,6.21,27.03684
-78.35,6.46,27.143618
-78.35,6.71,27.300474
-78.35,6.96,27.494648
-78.35,7.21,27.603712
-78.35,7.46,27.369211
-78.35,7.71,0.0
-78.35,7.96,0.0
-78.35,8.21,0.0
-78.35,8.46,0.0
-78.35,8.71,0.0
-78.35,8.96,0.0
-78.35,9.21,0.0
-78.35,9.46,27.947401
-78.35,9.71,27.990017
-78.35,9.96,27.759245
-78.35,10.21,27.654154
-78.35,10.46,27.644644
-78.35,10.71,27.650782
-78.35,10.96,27.609011
-78.35,11.21,27.556164
-78.35,11.46,27.509577
-78.35,11.71,27.479961
-78.35,11.96,27.482731
-78.35,12.21,27.558331
-78.35,12.46,27.696285
-78.1,-4.29,0.0
-78.1,-4.04,0.0
-78.1,-3.79,0.0
-78.1,-3.54,0.0
-78.1,-3.29,0.0
-78.1,-3.04,0.0
-78.1,-2.79,0.0
-78.1,-2.54,0.0
-78.1,-2.29,0.0
-78.1,-2.04,0.0
-78.1,-1.79,0.0
-78.1,-1.54,0.0
-78.1,-1.29,0.0
