DN,geometry
7,"POLYGON ((-76.90270269481012 3.199108518813953, -76.90270269481012 3.185410914348837, -76.91640029927215 3.185410914348837, -76.91640029927215 3.171713309883721, -76.90270269481012 3.171713309883721, -76.90270269481012 3.144318100953488, -76.86160988142404 3.144318100953488, -76.86160988142404 3.158015705418605, -76.88900509034809 3.158015705418605, -76.88900509034809 3.171713309883721, -76.87530748588607 3.171713309883721, -76.87530748588607 3.199108518813953, -76.90270269481012 3.199108518813953))"
7,"POLYGON ((-77.06707394835443 3.171713309883721, -77.06707394835443 3.158015705418605, -77.08077155281646 3.158015705418605, -77.08077155281646 3.144318100953488, -77.0533763438924 3.144318100953488, -77.0533763438924 3.171713309883721, -77.06707394835443 3.171713309883721))"
7,"POLYGON ((-76.84791227696202 3.158015705418605, -76.84791227696202 3.144318100953488, -76.8342146725 3.144318100953488, -76.8342146725 3.158015705418605, -76.84791227696202 3.158015705418605))"
6,"POLYGON ((-77.0533763438924 3.171713309883721, -77.0533763438924 3.144318100953488, -77.03967873943037 3.144318100953488, -77.03967873943037 3.130620496488372, -77.02598113496835 3.130620496488372, -77.02598113496835 3.158015705418605, -77.03967873943037 3.158015705418605, -77.03967873943037 3.171713309883721, -77.0533763438924 3.171713309883721))"
5,"POLYGON ((-76.20412486724683 3.240201332209303, -76.20412486724683 3.199108518813953, -76.21782247170886 3.199108518813953, -76.21782247170886 3.171713309883721, -76.2452176806329 3.171713309883721, -76.2452176806329 3.158015705418605, -76.23152007617088 3.158015705418605, -76.23152007617088 3.130620496488372, -76.21782247170886 3.130620496488372, -76.21782247170886 3.116922892023256, -76.20412486724683 3.116922892023256, -76.20412486724683 3.185410914348837, -76.19042726278481 3.185410914348837, -76.19042726278481 3.171713309883721, -76.17672965832278 3.171713309883721, -76.17672965832278 3.199108518813953, -76.16303205386076 3.199108518813953, -76.16303205386076 3.21280612327907, -76.17672965832278 3.21280612327907, -76.17672965832278 3.226503727744186, -76.19042726278481 3.226503727744186, -76.19042726278481 3.240201332209303, -76.20412486724683 3.240201332209303))"
6,"POLYGON ((-77.06707394835443 3.144318100953488, -77.06707394835443 3.116922892023256, -77.0533763438924 3.116922892023256, -77.0533763438924 3.144318100953488, -77.06707394835443 3.144318100953488))"
8,"POLYGON ((-76.91640029927215 3.171713309883721, -76.91640029927215 3.144318100953488, -76.93009790373418 3.144318100953488, -76.93009790373418 3.116922892023256, -76.91640029927215 3.116922892023256, -76.91640029927215 3.130620496488372, -76.87530748588607 3.130620496488372, -76.87530748588607 3.144318100953488, -76.90270269481012 3.144318100953488, -76.90270269481012 3.171713309883721, -76.91640029927215 3.171713309883721))"
7,"POLYGON ((-76.91640029927215 3.130620496488372, -76.91640029927215 3.116922892023256, -76.90270269481012 3.116922892023256, -76.90270269481012 3.130620496488372, -76.91640029927215 3.130620496488372))"
6,"POLYGON ((-76.86160988142404 3.158015705418605, -76.86160988142404 3.144318100953488, -76.87530748588607 3.144318100953488, -76.87530748588607 3.130620496488372, -76.90270269481012 3.130620496488372, -76.90270269481012 3.116922892023256, -76.8342146725 3.116922892023256, -76.8342146725 3.130620496488372, -76.82051706803797 3.130620496488372, -76.82051706803797 3.158015705418605, -76.8342146725 3.158015705418605, -76.8342146725 3.144318100953488, -76.84791227696202 3.144318100953488, -76.84791227696202 3.158015705418605, -76.86160988142404 3.158015705418605))"
5,"POLYGON ((-76.8342146725 3.130620496488372, -76.8342146725 3.116922892023256, -76.82051706803797 3.116922892023256, -76.82051706803797 3.130620496488372, -76.8342146725 3.130620496488372))"
8,"POLYGON ((-76.95749311265823 3.116922892023256, -76.95749311265823 3.10322528755814, -76.9437955081962 3.10322528755814, -76.9437955081962 3.116922892023256, -76.95749311265823 3.116922892023256))"
5,"POLYGON ((-76.76572665018988 3.116922892023256, -76.76572665018988 3.10322528755814, -76.75202904572784 3.10322528755814, -76.75202904572784 3.116922892023256, -76.76572665018988 3.116922892023256))"
