DN,geometry
6,"POLYGON ((-77.14925957512658 2.637506735744186, -77.14925957512658 2.62380913127907, -77.1629571795886 2.62380913127907, -77.1629571795886 2.596413922348837, -77.17665478405063 2.596413922348837, -77.17665478405063 2.569018713418605, -77.1629571795886 2.569018713418605, -77.1629571795886 2.555321108953489, -77.14925957512658 2.555321108953489, -77.14925957512658 2.610111526813954, -77.12186436620253 2.610111526813954, -77.12186436620253 2.596413922348837, -77.13556197066455 2.596413922348837, -77.13556197066455 2.582716317883721, -77.1081667617405 2.582716317883721, -77.1081667617405 2.62380913127907, -77.12186436620253 2.62380913127907, -77.12186436620253 2.637506735744186, -77.14925957512658 2.637506735744186))"
5,"POLYGON ((-77.29993322420886 2.596413922348837, -77.29993322420886 2.582716317883721, -77.3273284331329 2.582716317883721, -77.3273284331329 2.569018713418605, -77.27253801528481 2.569018713418605, -77.27253801528481 2.555321108953489, -77.24514280636076 2.555321108953489, -77.24514280636076 2.582716317883721, -77.27253801528481 2.582716317883721, -77.27253801528481 2.596413922348837, -77.29993322420886 2.596413922348837))"
4,"POLYGON ((-77.02598113496835 2.582716317883721, -77.02598113496835 2.569018713418605, -76.9985859260443 2.569018713418605, -76.9985859260443 2.555321108953489, -76.9437955081962 2.555321108953489, -76.9437955081962 2.582716317883721, -76.95749311265823 2.582716317883721, -76.95749311265823 2.569018713418605, -76.97119071712025 2.569018713418605, -76.97119071712025 2.582716317883721, -77.02598113496835 2.582716317883721))"
6,"POLYGON ((-77.3273284331329 2.569018713418605, -77.3273284331329 2.555321108953489, -77.31363082867088 2.555321108953489, -77.31363082867088 2.569018713418605, -77.3273284331329 2.569018713418605))"
5,"POLYGON ((-77.19035238851265 2.569018713418605, -77.19035238851265 2.555321108953489, -77.1629571795886 2.555321108953489, -77.1629571795886 2.569018713418605, -77.19035238851265 2.569018713418605))"
4,"POLYGON ((-77.0533763438924 2.569018713418605, -77.0533763438924 2.555321108953489, -77.03967873943037 2.555321108953489, -77.03967873943037 2.569018713418605, -77.0533763438924 2.569018713418605))"
7,"POLYGON ((-77.20404999297467 2.596413922348837, -77.20404999297467 2.582716317883721, -77.23144520189874 2.582716317883721, -77.23144520189874 2.569018713418605, -77.2177475974367 2.569018713418605, -77.2177475974367 2.555321108953489, -77.20404999297467 2.555321108953489, -77.20404999297467 2.541623504488372, -77.19035238851265 2.541623504488372, -77.19035238851265 2.569018713418605, -77.17665478405063 2.569018713418605, -77.17665478405063 2.582716317883721, -77.19035238851265 2.582716317883721, -77.19035238851265 2.596413922348837, -77.20404999297467 2.596413922348837))"
5,"POLYGON ((-77.34102603759493 2.569018713418605, -77.34102603759493 2.541623504488372, -77.29993322420886 2.541623504488372, -77.29993322420886 2.555321108953489, -77.3273284331329 2.555321108953489, -77.3273284331329 2.569018713418605, -77.34102603759493 2.569018713418605))"
5,"POLYGON ((-77.1629571795886 2.555321108953489, -77.1629571795886 2.541623504488372, -77.14925957512658 2.541623504488372, -77.14925957512658 2.555321108953489, -77.1629571795886 2.555321108953489))"
5,"POLYGON ((-76.73833144126581 2.555321108953489, -76.73833144126581 2.541623504488372, -76.72463383680379 2.541623504488372, -76.72463383680379 2.555321108953489, -76.73833144126581 2.555321108953489))"
5,"POLYGON ((-77.1081667617405 2.555321108953489, -77.1081667617405 2.527925900023256, -77.09446915727848 2.527925900023256, -77.09446915727848 2.541623504488372, -77.08077155281646 2.541623504488372, -77.08077155281646 2.555321108953489, -77.1081667617405 2.555321108953489))"
5,"POLYGON ((-76.0260560092405 2.541623504488372, -76.0260560092405 2.527925900023256, -76.01235840477848 2.527925900023256, -76.01235840477848 2.541623504488372, -76.0260560092405 2.541623504488372))"
5,"POLYGON ((-75.84798715123418 2.610111526813954, -75.84798715123418 2.596413922348837, -75.8616847556962 2.596413922348837, -75.8616847556962 2.569018713418605, -75.87538236015823 2.569018713418605, -75.87538236015823 2.555321108953489, -75.8616847556962 2.555321108953489, -75.8616847556962 2.51422829555814, -75.82059194231012 2.51422829555814, -75.82059194231012 2.527925900023256, -75.83428954677215 2.527925900023256, -75.83428954677215 2.582716317883721, -75.82059194231012 2.582716317883721, -75.82059194231012 2.596413922348837, -75.83428954677215 2.596413922348837, -75.83428954677215 2.610111526813954, -75.84798715123418 2.610111526813954))"
7,"POLYGON ((-77.2177475974367 2.527925900023256, -77.2177475974367 2.51422829555814, -77.20404999297467 2.51422829555814, -77.20404999297467 2.527925900023256, -77.2177475974367 2.527925900023256))"
5,"POLYGON ((-77.09446915727848 2.527925900023256, -77.09446915727848 2.51422829555814, -77.08077155281646 2.51422829555814, -77.08077155281646 2.527925900023256, -77.09446915727848 2.527925900023256))"
7,"POLYGON ((-77.08077155281646 2.527925900023256, -77.08077155281646 2.51422829555814, -77.06707394835443 2.51422829555814, -77.06707394835443 2.527925900023256, -77.08077155281646 2.527925900023256))"
4,"POLYGON ((-76.98488832158228 2.541623504488372, -76.98488832158228 2.527925900023256, -76.9985859260443 2.527925900023256, -76.9985859260443 2.51422829555814, -76.97119071712025 2.51422829555814, -76.97119071712025 2.541623504488372, -76.98488832158228 2.541623504488372))"
4,"POLYGON ((-76.0260560092405 2.760785175930232, -76.0260560092405 2.747087571465117, -76.03975361370253 2.747087571465117, -76.03975361370253 2.733389967, -76.05345121816455 2.733389967, -76.05345121816455 2.719692362534884, -76.03975361370253 2.719692362534884, -76.03975361370253 2.705994758069767, -76.0260560092405 2.705994758069767, -76.0260560092405 2.692297153604651, -75.99866080031646 2.692297153604651, -75.99866080031646 2.678599549139535, -75.98496319585442 2.678599549139535, -75.98496319585442 2.664901944674419, -76.03975361370253 2.664901944674419, -76.03975361370253 2.637506735744186, -75.98496319585442 2.637506735744186, -75.98496319585442 2.651204340209302, -75.9712655913924 2.651204340209302, -75.9712655913924 2.637506735744186, -75.95756798693037 2.637506735744186, -75.95756798693037 2.596413922348837, -75.94387038246835 2.596413922348837, -75.94387038246835 2.582716317883721, -75.95756798693037 2.582716317883721, -75.95756798693037 2.569018713418605, -75.93017277800632 2.569018713418605, -75.93017277800632 2.527925900023256, -75.94387038246835 2.527925900023256, -75.94387038246835 2.51422829555814, -75.9164751735443 2.51422829555814, -75.9164751735443 2.527925900023256, -75.87538236015823 2.527925900023256, -75.87538236015823 2.51422829555814, -75.8616847556962 2.51422829555814, -75.8616847556962 2.555321108953489, -75.87538236015823 2.555321108953489, -75.87538236015823 2.569018713418605, -75.8616847556962 2.569018713418605, -75.8616847556962 2.596413922348837, -75.84798715123418 2.596413922348837, -75.84798715123418 2.610111526813954, -75.83428954677215 2.610111526813954, -75.83428954677215 2.596413922348837, -75.82059194231012 2.596413922348837, -75.82059194231012 2.62380913127907, -75.80689433784809 2.62380913127907, -75.80689433784809 2.637506735744186, -75.79319673338607 2.637506735744186, -75.79319673338607 2.678599549139535, -75.76580152446202 2.678599549139535, -75.76580152446202 2.692297153604651, -75.75210392 2.692297153604651, -75.75210392 2.747087571465117, -75.77949912892404 2.747087571465117, -75.77949912892404 2.760785175930232, -75.79319673338607 2.760785175930232, -75.79319673338607 2.705994758069767, -75.80689433784809 2.705994758069767, -75.80689433784809 2.719692362534884, -75.82059194231012 2.719692362534884, -75.82059194231012 2.664901944674419, -75.83428954677215 2.664901944674419, -75.83428954677215 2.637506735744186, -75.84798715123418 2.637506735744186, -75.84798715123418 2.664901944674419, -75.8616847556962 2.664901944674419, -75.8616847556962 2.678599549139535, -75.87538236015823 2.678599549139535, -75.87538236015823 2.664901944674419, -75.88907996462025 2.664901944674419, -75.88907996462025 2.651204340209302, -75.87538236015823 2.651204340209302, -75.87538236015823 2.62380913127907, -75.90277756908228 2.62380913127907, -75.90277756908228 2.610111526813954, -75.9164751735443 2.610111526813954, -75.9164751735443 2.596413922348837, -75.93017277800632 2.596413922348837, -75.93017277800632 2.664901944674419, -75.90277756908228 2.664901944674419, -75.90277756908228 2.678599549139535, -75.9164751735443 2.678599549139535, -75.9164751735443 2.692297153604651, -75.93017277800632 2.692297153604651, -75.93017277800632 2.719692362534884, -75.95756798693037 2.719692362534884, -75.95756798693037 2.747087571465117, -75.9712655913924 2.747087571465117, -75.9712655913924 2.733389967, -75.98496319585442 2.733389967, -75.98496319585442 2.705994758069767, -75.99866080031646 2.705994758069767, -75.99866080031646 2.747087571465117, -76.01235840477848 2.747087571465117, -76.01235840477848 2.760785175930232, -76.0260560092405 2.760785175930232), (-75.9712655913924 2.664901944674419, -75.95756798693037 2.664901944674419, -75.95756798693037 2.651204340209302, -75.9712655913924 2.651204340209302, -75.9712655913924 2.664901944674419), (-75.93017277800632 2.582716317883721, -75.9164751735443 2.582716317883721, -75.9164751735443 2.569018713418605, -75.93017277800632 2.569018713418605, -75.93017277800632 2.582716317883721))"
4,"POLYGON ((-77.14925957512658 2.582716317883721, -77.14925957512658 2.541623504488372, -77.1629571795886 2.541623504488372, -77.1629571795886 2.527925900023256, -77.12186436620253 2.527925900023256, -77.12186436620253 2.500530691093023, -77.1081667617405 2.500530691093023, -77.1081667617405 2.51422829555814, -77.09446915727848 2.51422829555814, -77.09446915727848 2.527925900023256, -77.1081667617405 2.527925900023256, -77.1081667617405 2.555321108953489, -77.08077155281646 2.555321108953489, -77.08077155281646 2.569018713418605, -77.12186436620253 2.569018713418605, -77.12186436620253 2.582716317883721, -77.14925957512658 2.582716317883721))"
5,"POLYGON ((-77.45060687329114 2.51422829555814, -77.45060687329114 2.500530691093023, -77.43690926882911 2.500530691093023, -77.43690926882911 2.51422829555814, -77.45060687329114 2.51422829555814))"
5,"POLYGON ((-77.09446915727848 2.651204340209302, -77.09446915727848 2.637506735744186, -77.06707394835443 2.637506735744186, -77.06707394835443 2.596413922348837, -77.0533763438924 2.596413922348837, -77.0533763438924 2.569018713418605, -77.03967873943037 2.569018713418605, -77.03967873943037 2.555321108953489, -77.0533763438924 2.555321108953489, -77.0533763438924 2.541623504488372, -77.02598113496835 2.541623504488372, -77.02598113496835 2.527925900023256, -77.03967873943037 2.527925900023256, -77.03967873943037 2.51422829555814, -77.02598113496835 2.51422829555814, -77.02598113496835 2.486833086627907, -77.01228353050632 2.486833086627907, -77.01228353050632 2.500530691093023, -76.9985859260443 2.500530691093023, -76.9985859260443 2.527925900023256, -76.98488832158228 2.527925900023256, -76.98488832158228 2.541623504488372, -76.9985859260443 2.541623504488372, -76.9985859260443 2.569018713418605, -77.02598113496835 2.569018713418605, -77.02598113496835 2.582716317883721, -77.01228353050632 2.582716317883721, -77.01228353050632 2.596413922348837, -77.02598113496835 2.596413922348837, -77.02598113496835 2.637506735744186, -77.03967873943037 2.637506735744186, -77.03967873943037 2.62380913127907, -77.0533763438924 2.62380913127907, -77.0533763438924 2.651204340209302, -77.09446915727848 2.651204340209302))"
5,"POLYGON ((-75.9712655913924 2.637506735744186, -75.9712655913924 2.582716317883721, -76.01235840477848 2.582716317883721, -76.01235840477848 2.541623504488372, -75.99866080031646 2.541623504488372, -75.99866080031646 2.555321108953489, -75.98496319585442 2.555321108953489, -75.98496319585442 2.541623504488372, -75.9712655913924 2.541623504488372, -75.9712655913924 2.555321108953489, -75.95756798693037 2.555321108953489, -75.95756798693037 2.527925900023256, -75.9712655913924 2.527925900023256, -75.9712655913924 2.500530691093023, -75.94387038246835 2.500530691093023, -75.94387038246835 2.486833086627907, -75.9164751735443 2.486833086627907, -75.9164751735443 2.500530691093023, -75.90277756908228 2.500530691093023, -75.90277756908228 2.486833086627907, -75.88907996462025 2.486833086627907, -75.88907996462025 2.51422829555814, -75.87538236015823 2.51422829555814, -75.87538236015823 2.527925900023256, -75.9164751735443 2.527925900023256, -75.9164751735443 2.51422829555814, -75.94387038246835 2.51422829555814, -75.94387038246835 2.527925900023256, -75.93017277800632 2.527925900023256, -75.93017277800632 2.569018713418605, -75.95756798693037 2.569018713418605, -75.95756798693037 2.582716317883721, -75.94387038246835 2.582716317883721, -75.94387038246835 2.596413922348837, -75.95756798693037 2.596413922348837, -75.95756798693037 2.637506735744186, -75.9712655913924 2.637506735744186))"
4,"POLYGON ((-75.88907996462025 2.51422829555814, -75.88907996462025 2.486833086627907, -75.87538236015823 2.486833086627907, -75.87538236015823 2.51422829555814, -75.88907996462025 2.51422829555814))"
5,"POLYGON ((-77.3273284331329 2.500530691093023, -77.3273284331329 2.486833086627907, -77.31363082867088 2.486833086627907, -77.31363082867088 2.500530691093023, -77.3273284331329 2.500530691093023))"
5,"POLYGON ((-77.12186436620253 2.500530691093023, -77.12186436620253 2.486833086627907, -77.1081667617405 2.486833086627907, -77.1081667617405 2.500530691093023, -77.12186436620253 2.500530691093023))"
5,"POLYGON ((-77.08077155281646 2.500530691093023, -77.08077155281646 2.486833086627907, -77.06707394835443 2.486833086627907, -77.06707394835443 2.500530691093023, -77.08077155281646 2.500530691093023))"
5,"POLYGON ((-77.0533763438924 2.500530691093023, -77.0533763438924 2.486833086627907, -77.03967873943037 2.486833086627907, -77.03967873943037 2.500530691093023, -77.0533763438924 2.500530691093023))"
4,"POLYGON ((-75.95756798693037 2.500530691093023, -75.95756798693037 2.486833086627907, -75.94387038246835 2.486833086627907, -75.94387038246835 2.500530691093023, -75.95756798693037 2.500530691093023))"
6,"POLYGON ((-75.9164751735443 2.500530691093023, -75.9164751735443 2.486833086627907, -75.90277756908228 2.486833086627907, -75.90277756908228 2.500530691093023, -75.9164751735443 2.500530691093023))"
6,"POLYGON ((-75.8616847556962 2.51422829555814, -75.8616847556962 2.486833086627907, -75.84798715123418 2.486833086627907, -75.84798715123418 2.473135482162791, -75.83428954677215 2.473135482162791, -75.83428954677215 2.486833086627907, -75.82059194231012 2.486833086627907, -75.82059194231012 2.51422829555814, -75.8616847556962 2.51422829555814))"
5,"POLYGON ((-77.17665478405063 2.541623504488372, -77.17665478405063 2.527925900023256, -77.19035238851265 2.527925900023256, -77.19035238851265 2.51422829555814, -77.14925957512658 2.51422829555814, -77.14925957512658 2.500530691093023, -77.1629571795886 2.500530691093023, -77.1629571795886 2.486833086627907, -77.17665478405063 2.486833086627907, -77.17665478405063 2.500530691093023, -77.19035238851265 2.500530691093023, -77.19035238851265 2.473135482162791, -77.13556197066455 2.473135482162791, -77.13556197066455 2.500530691093023, -77.12186436620253 2.500530691093023, -77.12186436620253 2.527925900023256, -77.1629571795886 2.527925900023256, -77.1629571795886 2.541623504488372, -77.17665478405063 2.541623504488372))"
5,"POLYGON ((-77.09446915727848 2.486833086627907, -77.09446915727848 2.473135482162791, -77.08077155281646 2.473135482162791, -77.08077155281646 2.486833086627907, -77.09446915727848 2.486833086627907))"
4,"POLYGON ((-75.93017277800632 2.486833086627907, -75.93017277800632 2.473135482162791, -75.9164751735443 2.473135482162791, -75.9164751735443 2.486833086627907, -75.93017277800632 2.486833086627907))"
5,"POLYGON ((-77.36842124651898 2.541623504488372, -77.36842124651898 2.500530691093023, -77.38211885098102 2.500530691093023, -77.38211885098102 2.486833086627907, -77.36842124651898 2.486833086627907, -77.36842124651898 2.459437877697674, -77.35472364205695 2.459437877697674, -77.35472364205695 2.500530691093023, -77.34102603759493 2.500530691093023, -77.34102603759493 2.51422829555814, -77.35472364205695 2.51422829555814, -77.35472364205695 2.527925900023256, -77.34102603759493 2.527925900023256, -77.34102603759493 2.541623504488372, -77.36842124651898 2.541623504488372))"
4,"POLYGON ((-77.31363082867088 2.569018713418605, -77.31363082867088 2.555321108953489, -77.29993322420886 2.555321108953489, -77.29993322420886 2.541623504488372, -77.34102603759493 2.541623504488372, -77.34102603759493 2.527925900023256, -77.35472364205695 2.527925900023256, -77.35472364205695 2.51422829555814, -77.34102603759493 2.51422829555814, -77.34102603759493 2.500530691093023, -77.35472364205695 2.500530691093023, -77.35472364205695 2.459437877697674, -77.31363082867088 2.459437877697674, -77.31363082867088 2.473135482162791, -77.28623561974683 2.473135482162791, -77.28623561974683 2.500530691093023, -77.27253801528481 2.500530691093023, -77.27253801528481 2.486833086627907, -77.25884041082278 2.486833086627907, -77.25884041082278 2.51422829555814, -77.24514280636076 2.51422829555814, -77.24514280636076 2.555321108953489, -77.27253801528481 2.555321108953489, -77.27253801528481 2.569018713418605, -77.31363082867088 2.569018713418605), (-77.3273284331329 2.500530691093023, -77.31363082867088 2.500530691093023, -77.31363082867088 2.486833086627907, -77.3273284331329 2.486833086627907, -77.3273284331329 2.500530691093023))"
5,"POLYGON ((-77.47800208221518 2.486833086627907, -77.47800208221518 2.459437877697674, -77.46430447775316 2.459437877697674, -77.46430447775316 2.486833086627907, -77.47800208221518 2.486833086627907))"
4,"POLYGON ((-77.39581645544304 2.486833086627907, -77.39581645544304 2.459437877697674, -77.36842124651898 2.459437877697674, -77.36842124651898 2.486833086627907, -77.39581645544304 2.486833086627907))"
4,"POLYGON ((-77.0533763438924 2.486833086627907, -77.0533763438924 2.459437877697674, -77.03967873943037 2.459437877697674, -77.03967873943037 2.486833086627907, -77.0533763438924 2.486833086627907))"
6,"POLYGON ((-75.90277756908228 2.486833086627907, -75.90277756908228 2.459437877697674, -75.88907996462025 2.459437877697674, -75.88907996462025 2.486833086627907, -75.90277756908228 2.486833086627907))"
5,"POLYGON ((-77.20404999297467 2.473135482162791, -77.20404999297467 2.459437877697674, -77.19035238851265 2.459437877697674, -77.19035238851265 2.473135482162791, -77.20404999297467 2.473135482162791))"
5,"POLYGON ((-77.06707394835443 2.473135482162791, -77.06707394835443 2.459437877697674, -77.0533763438924 2.459437877697674, -77.0533763438924 2.473135482162791, -77.06707394835443 2.473135482162791))"
3,"POLYGON ((-76.93009790373418 2.473135482162791, -76.93009790373418 2.459437877697674, -76.91640029927215 2.459437877697674, -76.91640029927215 2.473135482162791, -76.93009790373418 2.473135482162791))"
4,"POLYGON ((-77.01228353050632 2.500530691093023, -77.01228353050632 2.486833086627907, -77.02598113496835 2.486833086627907, -77.02598113496835 2.445740273232558, -77.01228353050632 2.445740273232558, -77.01228353050632 2.459437877697674, -76.98488832158228 2.459437877697674, -76.98488832158228 2.486833086627907, -76.9985859260443 2.486833086627907, -76.9985859260443 2.500530691093023, -77.01228353050632 2.500530691093023))"
5,"POLYGON ((-77.43690926882911 2.500530691093023, -77.43690926882911 2.473135482162791, -77.45060687329114 2.473135482162791, -77.45060687329114 2.459437877697674, -77.43690926882911 2.459437877697674, -77.43690926882911 2.445740273232558, -77.36842124651898 2.445740273232558, -77.36842124651898 2.459437877697674, -77.42321166436709 2.459437877697674, -77.42321166436709 2.500530691093023, -77.43690926882911 2.500530691093023))"
4,"POLYGON ((-75.98496319585442 2.637506735744186, -75.98496319585442 2.610111526813954, -76.0260560092405 2.610111526813954, -76.0260560092405 2.62380913127907, -76.05345121816455 2.62380913127907, -76.05345121816455 2.610111526813954, -76.06714882262658 2.610111526813954, -76.06714882262658 2.596413922348837, -76.10824163601265 2.596413922348837, -76.10824163601265 2.582716317883721, -76.0808464270886 2.582716317883721, -76.0808464270886 2.51422829555814, -76.06714882262658 2.51422829555814, -76.06714882262658 2.527925900023256, -76.05345121816455 2.527925900023256, -76.05345121816455 2.555321108953489, -76.03975361370253 2.555321108953489, -76.03975361370253 2.500530691093023, -76.05345121816455 2.500530691093023, -76.05345121816455 2.473135482162791, -76.06714882262658 2.473135482162791, -76.06714882262658 2.459437877697674, -76.05345121816455 2.459437877697674, -76.05345121816455 2.445740273232558, -76.03975361370253 2.445740273232558, -76.03975361370253 2.459437877697674, -75.99866080031646 2.459437877697674, -75.99866080031646 2.473135482162791, -75.98496319585442 2.473135482162791, -75.98496319585442 2.500530691093023, -75.9712655913924 2.500530691093023, -75.9712655913924 2.527925900023256, -75.95756798693037 2.527925900023256, -75.95756798693037 2.555321108953489, -75.9712655913924 2.555321108953489, -75.9712655913924 2.541623504488372, -75.98496319585442 2.541623504488372, -75.98496319585442 2.555321108953489, -75.99866080031646 2.555321108953489, -75.99866080031646 2.541623504488372, -76.01235840477848 2.541623504488372, -76.01235840477848 2.582716317883721, -75.9712655913924 2.582716317883721, -75.9712655913924 2.637506735744186, -75.98496319585442 2.637506735744186), (-76.06714882262658 2.596413922348837, -76.05345121816455 2.596413922348837, -76.05345121816455 2.582716317883721, -76.06714882262658 2.582716317883721, -76.06714882262658 2.596413922348837), (-76.0260560092405 2.541623504488372, -76.01235840477848 2.541623504488372, -76.01235840477848 2.527925900023256, -76.0260560092405 2.527925900023256, -76.0260560092405 2.541623504488372))"
6,"POLYGON ((-77.45060687329114 2.459437877697674, -77.45060687329114 2.445740273232558, -77.43690926882911 2.445740273232558, -77.43690926882911 2.459437877697674, -77.45060687329114 2.459437877697674))"
3,"POLYGON ((-77.28623561974683 2.459437877697674, -77.28623561974683 2.445740273232558, -77.27253801528481 2.445740273232558, -77.27253801528481 2.459437877697674, -77.28623561974683 2.459437877697674))"
5,"POLYGON ((-77.19035238851265 2.459437877697674, -77.19035238851265 2.445740273232558, -77.17665478405063 2.445740273232558, -77.17665478405063 2.459437877697674, -77.19035238851265 2.459437877697674))"
5,"POLYGON ((-77.1629571795886 2.459437877697674, -77.1629571795886 2.445740273232558, -77.14925957512658 2.445740273232558, -77.14925957512658 2.459437877697674, -77.1629571795886 2.459437877697674))"
2,"POLYGON ((-76.10824163601265 2.486833086627907, -76.10824163601265 2.473135482162791, -76.12193924047467 2.473135482162791, -76.12193924047467 2.459437877697674, -76.1356368449367 2.459437877697674, -76.1356368449367 2.445740273232558, -76.10824163601265 2.445740273232558, -76.10824163601265 2.459437877697674, -76.09454403155063 2.459437877697674, -76.09454403155063 2.486833086627907, -76.10824163601265 2.486833086627907))"
6,"POLYGON ((-77.08077155281646 2.610111526813954, -77.08077155281646 2.596413922348837, -77.09446915727848 2.596413922348837, -77.09446915727848 2.582716317883721, -77.08077155281646 2.582716317883721, -77.08077155281646 2.541623504488372, -77.09446915727848 2.541623504488372, -77.09446915727848 2.527925900023256, -77.06707394835443 2.527925900023256, -77.06707394835443 2.51422829555814, -77.1081667617405 2.51422829555814, -77.1081667617405 2.473135482162791, -77.09446915727848 2.473135482162791, -77.09446915727848 2.486833086627907, -77.08077155281646 2.486833086627907, -77.08077155281646 2.432042668767442, -77.06707394835443 2.432042668767442, -77.06707394835443 2.445740273232558, -77.0533763438924 2.445740273232558, -77.0533763438924 2.459437877697674, -77.06707394835443 2.459437877697674, -77.06707394835443 2.473135482162791, -77.0533763438924 2.473135482162791, -77.0533763438924 2.500530691093023, -77.03967873943037 2.500530691093023, -77.03967873943037 2.432042668767442, -77.02598113496835 2.432042668767442, -77.02598113496835 2.51422829555814, -77.03967873943037 2.51422829555814, -77.03967873943037 2.527925900023256, -77.02598113496835 2.527925900023256, -77.02598113496835 2.541623504488372, -77.0533763438924 2.541623504488372, -77.0533763438924 2.596413922348837, -77.06707394835443 2.596413922348837, -77.06707394835443 2.610111526813954, -77.08077155281646 2.610111526813954), (-77.08077155281646 2.500530691093023, -77.06707394835443 2.500530691093023, -77.06707394835443 2.486833086627907, -77.08077155281646 2.486833086627907, -77.08077155281646 2.500530691093023))"
5,"POLYGON ((-75.87538236015823 2.51422829555814, -75.87538236015823 2.486833086627907, -75.88907996462025 2.486833086627907, -75.88907996462025 2.459437877697674, -75.90277756908228 2.459437877697674, -75.90277756908228 2.486833086627907, -75.9164751735443 2.486833086627907, -75.9164751735443 2.445740273232558, -75.88907996462025 2.445740273232558, -75.88907996462025 2.432042668767442, -75.87538236015823 2.432042668767442, -75.87538236015823 2.473135482162791, -75.84798715123418 2.473135482162791, -75.84798715123418 2.486833086627907, -75.8616847556962 2.486833086627907, -75.8616847556962 2.51422829555814, -75.87538236015823 2.51422829555814))"
6,"POLYGON ((-75.87538236015823 2.473135482162791, -75.87538236015823 2.432042668767442, -75.8616847556962 2.432042668767442, -75.8616847556962 2.445740273232558, -75.84798715123418 2.445740273232558, -75.84798715123418 2.473135482162791, -75.87538236015823 2.473135482162791))"
5,"POLYGON ((-77.17665478405063 2.445740273232558, -77.17665478405063 2.432042668767442, -77.1629571795886 2.432042668767442, -77.1629571795886 2.445740273232558, -77.17665478405063 2.445740273232558))"
4,"POLYGON ((-75.90277756908228 2.445740273232558, -75.90277756908228 2.432042668767442, -75.88907996462025 2.432042668767442, -75.88907996462025 2.445740273232558, -75.90277756908228 2.445740273232558))"
4,"POLYGON ((-77.45060687329114 2.445740273232558, -77.45060687329114 2.432042668767442, -77.43690926882911 2.432042668767442, -77.43690926882911 2.418345064302326, -77.42321166436709 2.418345064302326, -77.42321166436709 2.432042668767442, -77.39581645544304 2.432042668767442, -77.39581645544304 2.418345064302326, -77.36842124651898 2.418345064302326, -77.36842124651898 2.432042668767442, -77.34102603759493 2.432042668767442, -77.34102603759493 2.445740273232558, -77.45060687329114 2.445740273232558))"
5,"POLYGON ((-77.24514280636076 2.555321108953489, -77.24514280636076 2.51422829555814, -77.25884041082278 2.51422829555814, -77.25884041082278 2.486833086627907, -77.27253801528481 2.486833086627907, -77.27253801528481 2.500530691093023, -77.28623561974683 2.500530691093023, -77.28623561974683 2.459437877697674, -77.27253801528481 2.459437877697674, -77.27253801528481 2.445740273232558, -77.28623561974683 2.445740273232558, -77.28623561974683 2.418345064302326, -77.27253801528481 2.418345064302326, -77.27253801528481 2.432042668767442, -77.25884041082278 2.432042668767442, -77.25884041082278 2.418345064302326, -77.24514280636076 2.418345064302326, -77.24514280636076 2.500530691093023, -77.23144520189874 2.500530691093023, -77.23144520189874 2.555321108953489, -77.24514280636076 2.555321108953489))"
4,"POLYGON ((-77.13556197066455 2.500530691093023, -77.13556197066455 2.473135482162791, -77.19035238851265 2.473135482162791, -77.19035238851265 2.459437877697674, -77.17665478405063 2.459437877697674, -77.17665478405063 2.445740273232558, -77.1629571795886 2.445740273232558, -77.1629571795886 2.432042668767442, -77.14925957512658 2.432042668767442, -77.14925957512658 2.418345064302326, -77.13556197066455 2.418345064302326, -77.13556197066455 2.432042668767442, -77.1081667617405 2.432042668767442, -77.1081667617405 2.445740273232558, -77.12186436620253 2.445740273232558, -77.12186436620253 2.459437877697674, -77.08077155281646 2.459437877697674, -77.08077155281646 2.473135482162791, -77.1081667617405 2.473135482162791, -77.1081667617405 2.486833086627907, -77.12186436620253 2.486833086627907, -77.12186436620253 2.500530691093023, -77.13556197066455 2.500530691093023), (-77.1629571795886 2.459437877697674, -77.14925957512658 2.459437877697674, -77.14925957512658 2.445740273232558, -77.1629571795886 2.445740273232558, -77.1629571795886 2.459437877697674))"
4,"POLYGON ((-77.17665478405063 2.432042668767442, -77.17665478405063 2.418345064302326, -77.1629571795886 2.418345064302326, -77.1629571795886 2.432042668767442, -77.17665478405063 2.432042668767442))"
6,"POLYGON ((-77.1629571795886 2.432042668767442, -77.1629571795886 2.418345064302326, -77.14925957512658 2.418345064302326, -77.14925957512658 2.432042668767442, -77.1629571795886 2.432042668767442))"
2,"POLYGON ((-76.4506817475633 2.432042668767442, -76.4506817475633 2.418345064302326, -76.43698414310126 2.418345064302326, -76.43698414310126 2.432042668767442, -76.4506817475633 2.432042668767442))"
5,"POLYGON ((-77.12186436620253 2.459437877697674, -77.12186436620253 2.445740273232558, -77.1081667617405 2.445740273232558, -77.1081667617405 2.418345064302326, -77.09446915727848 2.418345064302326, -77.09446915727848 2.404647459837209, -77.06707394835443 2.404647459837209, -77.06707394835443 2.418345064302326, -77.0533763438924 2.418345064302326, -77.0533763438924 2.432042668767442, -77.03967873943037 2.432042668767442, -77.03967873943037 2.459437877697674, -77.0533763438924 2.459437877697674, -77.0533763438924 2.445740273232558, -77.06707394835443 2.445740273232558, -77.06707394835443 2.432042668767442, -77.08077155281646 2.432042668767442, -77.08077155281646 2.459437877697674, -77.12186436620253 2.459437877697674))"
